county,date,channel,n
Albemarle County,2020-11-19,Mail,0
Albemarle County,2020-11-20,In-Person,0
Albemarle County,2020-11-20,Mail,0
Albemarle County,2020-11-23,In-Person,0
Albemarle County,2020-11-23,Mail,0
Albemarle County,2020-11-25,In-Person,0
Albemarle County,2020-11-25,Mail,0
Albemarle County,2020-11-26,In-Person,0
Albemarle County,2020-11-26,Mail,0
Albemarle County,2020-11-27,In-Person,0
Albemarle County,2020-11-27,Mail,0
Albemarle County,2020-11-28,In-Person,0
Albemarle County,2020-11-28,Mail,0
Albemarle County,2020-11-29,In-Person,0
Albemarle County,2020-11-29,Mail,0
Alexandria City,2020-09-17,In-Person,0
Alexandria City,2020-09-17,Mail,0
Alexandria City,2020-09-18,In-Person,1047
Alexandria City,2020-09-18,Mail,0
Alexandria City,2020-09-19,In-Person,0
Alexandria City,2020-09-19,Mail,0
Alexandria City,2020-09-20,In-Person,0
Alexandria City,2020-09-20,Mail,0
Alexandria City,2020-09-21,In-Person,825
Alexandria City,2020-09-21,Mail,43
Alexandria City,2020-09-22,In-Person,853
Alexandria City,2020-09-22,Mail,336
Alexandria City,2020-09-23,In-Person,843
Alexandria City,2020-09-23,Mail,1585
Alexandria City,2020-09-24,In-Person,844
Alexandria City,2020-09-24,Mail,369
Alexandria City,2020-09-25,In-Person,1085
Alexandria City,2020-09-25,Mail,1493
Alexandria City,2020-09-26,In-Person,0
Alexandria City,2020-09-26,Mail,111
Alexandria City,2020-09-27,In-Person,0
Alexandria City,2020-09-27,Mail,70
Alexandria City,2020-09-28,In-Person,899
Alexandria City,2020-09-28,Mail,2324
Alexandria City,2020-09-29,In-Person,737
Alexandria City,2020-09-29,Mail,745
Alexandria City,2020-09-30,In-Person,768
Alexandria City,2020-09-30,Mail,1426
Alexandria City,2020-10-01,In-Person,703
Alexandria City,2020-10-01,Mail,959
Alexandria City,2020-10-02,In-Person,995
Alexandria City,2020-10-02,Mail,836
Alexandria City,2020-10-03,In-Person,660
Alexandria City,2020-10-03,Mail,881
Alexandria City,2020-10-04,In-Person,0
Alexandria City,2020-10-04,Mail,354
Alexandria City,2020-10-05,In-Person,714
Alexandria City,2020-10-05,Mail,873
Alexandria City,2020-10-06,In-Person,633
Alexandria City,2020-10-06,Mail,365
Alexandria City,2020-10-07,In-Person,647
Alexandria City,2020-10-07,Mail,868
Alexandria City,2020-10-08,In-Person,600
Alexandria City,2020-10-08,Mail,765
Alexandria City,2020-10-09,In-Person,958
Alexandria City,2020-10-09,Mail,663
Alexandria City,2020-10-10,In-Person,653
Alexandria City,2020-10-10,Mail,760
Alexandria City,2020-10-11,In-Person,0
Alexandria City,2020-10-11,Mail,261
Alexandria City,2020-10-12,In-Person,581
Alexandria City,2020-10-12,Mail,102
Alexandria City,2020-10-13,In-Person,682
Alexandria City,2020-10-13,Mail,1107
Alexandria City,2020-10-14,In-Person,631
Alexandria City,2020-10-14,Mail,242
Alexandria City,2020-10-15,In-Person,637
Alexandria City,2020-10-15,Mail,849
Alexandria City,2020-10-16,In-Person,901
Alexandria City,2020-10-16,Mail,720
Alexandria City,2020-10-17,In-Person,667
Alexandria City,2020-10-17,Mail,596
Alexandria City,2020-10-18,In-Person,0
Alexandria City,2020-10-18,Mail,218
Alexandria City,2020-10-19,In-Person,707
Alexandria City,2020-10-19,Mail,681
Alexandria City,2020-10-20,In-Person,639
Alexandria City,2020-10-20,Mail,299
Alexandria City,2020-10-21,In-Person,680
Alexandria City,2020-10-21,Mail,493
Alexandria City,2020-10-22,In-Person,634
Alexandria City,2020-10-22,Mail,744
Alexandria City,2020-10-23,In-Person,1727
Alexandria City,2020-10-23,Mail,532
Alexandria City,2020-10-24,In-Person,2412
Alexandria City,2020-10-24,Mail,855
Alexandria City,2020-10-25,In-Person,0
Alexandria City,2020-10-25,Mail,182
Alexandria City,2020-10-26,In-Person,1786
Alexandria City,2020-10-26,Mail,733
Alexandria City,2020-10-27,In-Person,1879
Alexandria City,2020-10-27,Mail,372
Alexandria City,2020-10-28,In-Person,1856
Alexandria City,2020-10-28,Mail,734
Alexandria City,2020-10-29,In-Person,1382
Alexandria City,2020-10-29,Mail,610
Alexandria City,2020-10-30,In-Person,1933
Alexandria City,2020-10-30,Mail,530
Alexandria City,2020-10-31,In-Person,2333
Alexandria City,2020-10-31,Mail,831
Alexandria City,2020-11-01,In-Person,0
Alexandria City,2020-11-01,Mail,204
Alexandria City,2020-11-02,In-Person,0
Alexandria City,2020-11-02,Mail,550
Alexandria City,2020-11-03,In-Person,0
Alexandria City,2020-11-03,Mail,1050
Alexandria City,2020-11-04,In-Person,0
Alexandria City,2020-11-04,Mail,57
Alexandria City,2020-11-05,In-Person,0
Alexandria City,2020-11-05,Mail,127
Alexandria City,2020-11-06,In-Person,0
Alexandria City,2020-11-06,Mail,21
Alexandria City,2020-11-07,In-Person,0
Alexandria City,2020-11-07,Mail,0
Alexandria City,2020-11-08,In-Person,0
Alexandria City,2020-11-08,Mail,0
Alexandria City,2020-11-13,In-Person,0
Alexandria City,2020-11-13,Mail,0
Alexandria City,2020-11-16,In-Person,0
Alexandria City,2020-11-16,Mail,0
Alexandria City,2020-11-19,In-Person,0
Alexandria City,2020-11-19,Mail,1
Alexandria City,2020-11-20,In-Person,0
Alexandria City,2020-11-20,Mail,0
Alexandria City,2020-11-23,In-Person,0
Alexandria City,2020-11-23,Mail,0
Alexandria City,2020-11-25,In-Person,0
Alexandria City,2020-11-25,Mail,0
Alexandria City,2020-11-26,In-Person,0
Alexandria City,2020-11-26,Mail,0
Alexandria City,2020-11-27,In-Person,0
Alexandria City,2020-11-27,Mail,0
Alexandria City,2020-11-28,In-Person,0
Alexandria City,2020-11-28,Mail,0
Alexandria City,2020-11-29,In-Person,0
Alexandria City,2020-11-29,Mail,0
